,OID1,C_Distri_2,N_Distric,C_Neighbou,Neighbou_1,Man_1,Women_1,Total_1,Area_km2_1,Pop_dens_1,WEB_45,Household1,ratio_MW
0,0.0,1,Ciutat Vella,1,el Raval,26553.0,21850.0,48403.0,1.098393,44067.108766000005,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri1.pdf,74.6,1.2152402745995423
1,1.0,1,Ciutat Vella,2,el Barri Gòtic,8368.0,7508.0,15876.0,0.8419049999999999,18857.23275,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri2.pdf,110.5,1.1145444858817262
2,2.0,1,Ciutat Vella,3,la Barceloneta,7581.0,7631.0,15212.0,1.313868,11578.027776,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri3.pdf,84.8,0.9934477787970122
3,3.0,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",11466.0,11390.0,22856.0,1.114299,20511.553762,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri4.pdf,97.8,1.0066725197541704
4,4.0,2,Eixample,5,el Fort Pienc,15039.0,16924.0,31963.0,0.928901,34409.477864,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri5.pdf,105.0,0.8886197116520917
5,5.0,2,Eixample,6,la Sagrada Família,23686.0,27937.0,51623.0,1.050991,49118.396349,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri6.pdf,95.9,0.8478362028850628
6,6.0,2,Eixample,7,la Dreta de l'Eixample,20240.0,23754.0,43994.0,2.123405,20718.614053,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri7.pdf,170.0,0.8520670202913193
7,7.0,2,Eixample,8,l'Antiga Esquerra de l'Eixample,19434.0,22727.0,42161.0,1.234453,34153.579398,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri8.pdf,139.2,0.8551062612751353
8,8.0,2,Eixample,9,la Nova Esquerra de l'Eixample,27038.0,31186.0,58224.0,1.337656,43526.875806000004,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri9.pdf,105.3,0.8669915987943307
9,9.0,2,Eixample,10,Sant Antoni,18134.0,20378.0,38512.0,0.8009850000000001,48080.794282,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri10.pdf,104.0,0.8898812444793405
